date,open,high,low,close,volume,symbol,name
2026-02-12,3294.571,3334.354,3292.677,3328.063,22591739521,sz399006,创业板指
2026-02-13,3309.429,3323.369,3275.289,3275.958,20624958923,sz399006,创业板指
2026-02-24,3331.795,3343.244,3292.5,3308.265,22240405558,sz399006,创业板指
2026-02-25,3313.093,3363.182,3302.759,3354.819,23205479475,sz399006,创业板指
2026-02-26,3346.743,3351.573,3310.554,3344.982,25161974420,sz399006,创业板指
2026-02-27,3303.977,3326.585,3292.892,3310.305,24032083023,sz399006,创业板指
2026-03-02,3257.051,3319.908,3257.051,3294.161,27351491153,sz399006,创业板指
2026-03-03,3316.633,3331.264,3206.615,3209.482,28637119972,sz399006,创业板指
2026-03-04,3171.185,3217.111,3149.412,3164.371,21733186383,sz399006,创业板指
2026-03-05,3236.151,3264.796,3194.956,3216.939,24166948932,sz399006,创业板指
2026-03-06,3197.665,3248.898,3177.871,3229.302,22276622596,sz399006,创业板指
2026-03-09,3152.717,3220.015,3111.883,3208.582,25504546193,sz399006,创业板指
2026-03-10,3281.944,3308.747,3272.99,3306.141,23630427361,sz399006,创业板指
2026-03-11,3318.413,3388.103,3318.413,3349.529,23556722041,sz399006,创业板指
2026-03-12,3357.033,3358.771,3286.767,3317.522,22542505817,sz399006,创业板指
2026-03-13,3296.503,3342.854,3296.114,3310.278,22655297449,sz399006,创业板指
2026-03-16,3323.979,3360.354,3284.048,3357.022,20821772507,sz399006,创业板指
2026-03-17,3385.712,3390.021,3279.875,3280.059,20725685437,sz399006,创业板指
2026-03-18,3307.822,3350.556,3274.26,3346.365,19370269368,sz399006,创业板指
2026-03-19,3311.445,3361.215,3295.453,3309.103,19915356248,sz399006,创业板指
2026-03-20,3362.072,3426.609,3348.7,3352.103,22540163023,sz399006,创业板指
2026-03-23,3300.558,3334.456,3214.819,3235.221,23966917084,sz399006,创业板指
2026-03-24,3266.932,3270.191,3155.271,3251.545,20522547863,sz399006,创业板指
2026-03-25,3287.171,3325.263,3278.726,3316.971,20629018561,sz399006,创业板指
2026-03-26,3299.031,3347.23,3263.996,3272.488,18545832832,sz399006,创业板指
2026-03-27,3236.37,3323.333,3228.411,3295.88,16968830294,sz399006,创业板指
2026-03-30,3254.431,3281.393,3224.599,3273.355,17219385707,sz399006,创业板指
2026-03-31,3247.279,3280.479,3184.952,3184.952,17816826549,sz399006,创业板指
2026-04-01,3255.264,3255.264,3206.802,3247.523,18012365918,sz399006,创业板指
2026-04-02,3229.6,3229.679,3155.13,3172.649,17467543341,sz399006,创业板指
2026-04-03,3197.771,3199.438,3149.153,3149.596,16182688712,sz399006,创业板指
